comments,date,translated_comments,cleaned_comments
sana po sabihin mo na lahat2x baka mapatawad ka pa nmin basta maituro mo lahat ng sangkot sa pagnanakaw!!,11/19/2025,I hope you tell everyone that maybe we can forgive you as long as you teach everyone involved in the theft!!,hope tell everyone maybe forgive long teach everyone involved theft
LORD GOD PROTECT all your people and the witnesses who speak up the Truth....,11/19/2025,LORD GOD PROTECT all your people and the witnesses who speak up the Truth....,lord god protect people witness speak truth
"Panginoon naming Diyos, ibigay mo na po sa amin ang aming hinihiling... Please po. Nakakaawa na ang mga tao, nakakaawa ang bansang Pilipinas. Nagmahal lang po kami at nagpatawad sa aming kapwa na nagkasala. Binigyan namin silang nagkamali ng pagkakataon na gawin ang tama, subalit kung talagang hindi na po sila masasawata sa kanilang pagsuway, loobin mo pong iligtas kaming sa Iyo ay lubos na sumasampalataya. Pahirin mo po ang aming mga luha, ang kalungkutan at pangamba sa aming mga puso ay palitan Mo po ng galak at pananabik na makita ang Iyong napakalakas na kapangyarihan. Amen.",11/19/2025,"Lord God, give us what we ask for... Please. The people are pathetic, the Philippines is pathetic. We just love and forgive our fellow sinners. We have given them the chance to do the right thing, but if they really cannot bear their disobedience, be willing to save us from You, we believe fully. Wipe away our tears, replace the sadness and fear in our hearts with joy and longing to see Your mighty power. Amen.",lord god give u ask please people pathetic philippine pathetic love forgive fellow sinner given chance right thing really cannot bear disobedience willing save u believe fully wipe away tear replace sadness fear heart joy longing see mighty power amen
God has a plan for you to reveal this things let all truth comes out. Pray for your safety and to your family's.,11/19/2025,God has a plan for you to reveal this things let all truth comes out. Pray for your safety and to your family's.,god plan reveal thing let truth come pray safety family
"We believe na criminal sya, but god please protect him until we succeed to capture and punish the Real Masterminds.",11/19/2025,"We believe na criminal sya, but god please protect him until we succeed to capture and punish the Real Masterminds.",believe na criminal sya god please protect succeed capture punish real mastermind
"Bilisan mo na baka mapatay kana, nila saya ng buong mgabibidinsya, tawagin ka naming hero, kapag Naipakikita mo na ang mga yan.",11/19/2025,"Hurry up, it might kill you, they will be happy with the whole video, we will call you a hero, when you can show them.",hurry might kill happy whole video call hero show
Pag palain po kayu sa pagsasabi nyu ng buong katutuhanan at sana sabihin muna ang lahat for God's sake at para sa mga pilipino at sa pilipinas...,11/19/2025,Please bless you for telling the whole truth and I hope you say everything first for God's sake and for the Filipinos and the Philippines...,please bless telling whole truth hope say everything first god sake filipino philippine
pls pray tell the prrd kidnapping,11/19/2025,pls pray tell the prrd kidnapping,pls pray tell prrd kidnapping
Gumalaw ka na sir gamitin mo na rin resources mo para mapatunayan ang lahat na ebidensiya na nilatag mo dahil inipit kana ecacancel na pasaport mo at kakasuhan ka na ng mga dati mong kaalyado.,11/20/2025,"Get moving, sir, use your resources to prove all the evidence you have laid because your ecacancelled passport is stuck and your former allies will sue you.",get moving sir use resource prove evidence laid ecacancelled passport stuck former ally sue
In the first place Kasi kung Walang currapt na mga na ka upo na yan Wala rin magagawa Ang mga contractor kungdi sudin at Gawin ng maayos Ang contrata na binigay sa kanila,11/19/2025,"In the first place Because if there is no currapt for those who are already sitting there, the contractors can't do anything but follow and do the contract that was given to them properly",first place currapt already sitting contractor cant anything follow contract given properly
"Hiling ng taongbayan Sir ilaglag muna din lahat ng kasama mo sa Congress lalo na ung mga nasa Leadership na mga bata din ni Tamby, Sir andyan ka na din sa sitwasyon na yan lubos lubosin muna ang paggawa ng Tama sa pagsisiwalat ng lahat ng kasamahan mo sa Congress na may Leadership Fund na insertion, Masama na lamang sir ang tingin sau Ng Tao pero Kung gagawa ka lahat ngaun ng kabutihan sa taong Bayan at ituturo mo lahat ng Leadership Fund na insertion sa pamumuno mo as Chairman ng Appropriation Committee aba pwedeng mabaligtad ang sitwasyon at kung magalit man sau ang taong bayan, makikita pa rin nila Sir ang kabutihan na iyong gagawin para sa taong bayan, ilabas mo din Sir sana ang Resibo ng lahat ng may Leadership Fund 2023, 2024, 2025.. Salamat po",11/19/2025,"It is the request of the people, Sir, to drop all of your colleagues in Congress, especially those in Leadership who are Tamby's children, Sir, you are also in that situation, first fully do the right thing in disclosing all of your colleagues in Congress with Leadership Fund insertions, Sir, the people look at you badly, but if you do all this good for the people of the Town and teach all the Leadership Fund insertions under your leadership as Chairman of the Appropriation Committee, it can be reversed. the situation and even if the people of the town are angry with you, they will still see the good you will do for the people of the town, Sir please also release the Receipts of all those who have the Leadership Fund 2023, 2024, 2025.. Thank you",request people sir drop colleague congress especially leadership tambys child sir also situation first fully right thing disclosing colleague congress leadership fund insertion sir people look badly good people town teach leadership fund insertion leadership chairman appropriation committee reversed situation even people town angry still see good people town sir please also release receipt leadership fund 2023 2024 2025 thank
"Sa lahat ng ating mga ginagawa at sinasabi ay may kaakibat na konsekwensya, totoo man ito o alegasyon lang. Ngayon mo isiwalat lahat ng walang itinitira dahil buhay at pangalan mo ang nakataya at nanonood ang milyong milyong Pilipino kasama na ang buong minamahal mong pamilya, lalo na ang mga namatayan nating mga kababayan dahil sa kapabayaan at sobrang kaganiran sa salapi at kapangyarihan.",11/19/2025,"Everything we do and say has consequences, whether it's true or just an allegation. Now you reveal everything because your life and name are at stake and millions of Filipinos are watching, including your entire beloved family, especially those of our compatriots who died due to negligence and excessive greed for money and power.",everything say consequence whether true allegation reveal everything life name stake million filipino watching including entire beloved family especially compatriot died due negligence excessive greed money power
"Dapat ilabas niyo na po lahat lahat sir bago pa mahuli ang lahat,baka may mga plano na po mga kalaban niyo sa tapusin na agad kayo bago niyo pa ilabas ang lahat lahat na ebidensiya tapos sundin niyo po ang suggestion ni sir Mike Defensor na ipa notarise sa console diyan sa bansa kung nasaan po kayo ngayon.",11/19/2025,"You should release everything, sir, before everyone is caught, maybe your opponents have plans to finish you immediately before you release all the evidence, then follow Sir Mike Defensor's suggestion to have the console notarized in the country where you are now.",release everything sir everyone caught maybe opponent plan finish immediately release evidence follow sir mike defensors suggestion console notarized country
ilabas nyo na po lahat ng ebidensya para makulong na ang master mind,11/19/2025,Bring out all the evidence so that the master mind can be imprisoned,bring evidence master mind imprisoned
Sir zaldy pwede nyo din po ba isiwalat ang naging plano hanggang sa pagpadala kay fprrd sa the hague at kung sino po ang lahat na involved.,11/22/2025,"Sir Zaldy, can you also reveal the plan until sending fprrd to the Hague and who all are involved.",sir zaldy also reveal plan sending fprrd hague involved
Good job cong!,11/19/2025,Good job cong!,good job cong
God bless you po.,11/19/2025,God bless you po.,god bless po
Protect zaldy co at all cost nag sisimula ng gumalaw mga mastermind,11/21/2025,Protect zaldy co at all costs the masterminds are starting to move,protect zaldy co cost mastermind starting move
The truth will set you free.,11/19/2025,The truth will set you free.,truth set free
Ibulgar mo na nagbayad kayo sa afp at pnp...pati yung utak sa icc kidnap.....,11/19/2025,Make it public that you paid afp and pnp...even the brains behind the icc kidnap.....,make public paid afp pnpeven brain behind icc kidnap
"May warrant kana po Idol, ilabas mo na yan do or die na !",11/22/2025,"I may war restea can be poor, subasubas, kab or the mat !",may war restea poor subasubas kab mat
Magkano bayad at ninakaw,11/19/2025,How much paid and stolen,much paid stolen
Talagang kapag ang DIYOS na ang kumilos lahat ay maaayos at binigyan ka ng pagkakataon na ituwid lahat na kamalian hinipo ang puso mo na ibunyag lahat na iyong nalalaman sa katiwalian. Nawa after all yong kayamanan mo ay itulong sa higit na nangangailangan para naman matuwa ang karamihan. Aanhin mo ba ang kayamanan kung wala ka namang kapayapaan at dahil nga nagsalita narin si Senator Imee kanina lang maayos na ang bayan. the truth will set you free!,11/19/2025,"Really when GOD takes action everything will be fixed and you are given the opportunity to correct all wrongs touched your heart to reveal everything you know about corruption. After all, may your wealth be used to help the most needy so that the majority can be happy. Do you take the wealth if you don't have peace and that's why Senator Imee spoke a while ago that the town is in order. the truth will set you free!",really god take action everything fixed given opportunity correct wrong touched heart reveal everything know corruption may wealth used help needy majority happy take wealth dont peace thats senator imee spoke ago town order truth set free
